tweet_text,image_path,labels
@FriskDontMiss Nigga https://t.co/cAsaLWEpue,dataset\images\0.jpg,"[4, 1, 3]"
My horses are retarded https://t.co/HYhqc6d5WN,dataset\images\1.jpg,"[5, 5, 5]"
â€œNIGGA ON MA MOMMA YOUNGBOY BE SPITTING REAL SHIT NIGGAâ€ https://t.co/UczofqHrLq,dataset\images\2.jpg,"[0, 0, 0]"
RT xxSuGVNGxx: I ran into this HOLY NIGGA TODAY ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ https://t.co/Wa6Spl9kIw,dataset\images\3.jpg,"[1, 0, 0]"
â€œEVERYbody calling you Nigger now!â€ https://t.co/6mguJ6KIBF,dataset\images\4.jpg,"[1, 0, 1]"
â€œ real ass bitch give a fuck boutta niggaâ€ https://t.co/YtyXf52oGi,dataset\images\5.jpg,"[0, 0, 0]"
@WhiteHouse @realDonaldTrump Fuck ice. White supremacist trash. All of you are racist garbage. https://t.co/o2OB4yUnex,dataset\images\6.jpg,"[5, 1, 1]"
Dayâ€™s a cunt https://t.co/Ie6QZReHsw,dataset\images\7.jpg,"[0, 0, 0]"
#sissy faggot https://t.co/bm1nk8HcYO,dataset\images\8.jpg,"[3, 3, 0]"
@Gloriko_ Nigga what? https://t.co/nOwIJtgtU1,dataset\images\9.jpg,"[4, 0, 3]"
@DefNotJerm So.... you turn to twitter for it instead of beating that nigga ass or contacting the police about it? https://t.co/Lseai7IPOL,dataset\images\10.jpg,"[0, 0, 0]"
@WhatUpJT I swear I was waiting for her to mouth the word â€œniggerâ€ ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ https://t.co/c4eZPgQBjx,dataset\images\11.jpg,"[0, 0, 0]"
Iâ€™m ğŸ’¯ behind you nigga u my thug brotherğŸ–¤ https://t.co/9p6oizMmhn,dataset\images\12.jpg,"[0, 0, 0]"
Who dafuqq is this nigga https://t.co/D6YwVyGjNZ,dataset\images\13.jpg,"[0, 1, 1]"
bf: move your bighead ğŸ˜…ğŸ˜‚  gf: NIGGA WHAT?? THATâ€™S WHY YOUR DADDY LEFT YOU IN â€˜08!! https://t.co/rvA65cGaZs,dataset\images\14.jpg,"[2, 2, 1]"
@OriginalSlimC This fat nigga slander is getting outta hand ğŸ˜­ğŸ˜­ https://t.co/YVSTd3KbGw,dataset\images\15.jpg,"[3, 0, 0]"
#ecofascist @SierraClub is just another nest for #SJW @newliberallogic @tan123 https://t.co/hzovXBfp2U,dataset\images\16.jpg,"[0, 0, 0]"
When a android nigga wanna talk about phone battery: https://t.co/vhUBzckkfr,dataset\images\17.jpg,"[0, 0, 0]"
@FreedomzWriterx Check out this niggerğŸ˜­ https://t.co/tngO83VGnO,dataset\images\18.jpg,"[0, 0, 0]"
Dat nigga my homie 3ï¸âƒ£ https://t.co/rO9DYggULq,dataset\images\19.jpg,"[0, 0, 0]"
@SplashIQ Imagine a nigga first time messaging you. Then says you off the team ğŸ˜­ğŸ˜­ https://t.co/sM79rigR4G,dataset\images\20.jpg,"[0, 0, 0]"
"ğŸ¶ Phantom Power Music ğŸ¶ ""Never Surrender"" https://t.co/D3xtdlDiTJ https://t.co/1MgmcXKHIQ",dataset\images\21.jpg,"[0, 0, 0]"
NIGGA. Wya? https://t.co/weesxKtWqG,dataset\images\22.jpg,"[1, 0, 0]"
carol really said fuck yall Iâ€™m a dyke and Iâ€™m here to save the universe https://t.co/fY7ITVIhne,dataset\images\23.jpg,"[5, 0, 0]"
motivation from my favorite twat â¤ï¸ğŸğŸƒğŸ»â€â™‚ï¸ https://t.co/YuCsuSonN7,dataset\images\24.jpg,"[0, 2, 0]"
"@until1mil Mike was a twat, cocky son of a B that always deleted his bad calls ğŸ˜‚ https://t.co/s7uNqto4Yk",dataset\images\25.jpg,"[5, 0, 0]"
And I said his 29 not 30 cos his 29 but this twat still said his nearer 30 eventhough his 29..... https://t.co/GgyQmajAbn,dataset\images\26.jpg,"[0, 0, 0]"
@HBCUfessions Ask a nigga to do itğŸ˜‚ https://t.co/Av9QcHpUFE,dataset\images\27.jpg,"[0, 1, 0]"
@Biisi96 Pamilerin be like after seeing this: me d muscular nigga https://t.co/89s7U6FpWP,dataset\images\28.jpg,"[0, 1, 0]"
@alexissdiamondd Itâ€™s definitely YOU nigga ğŸ˜‚ https://t.co/NiyfhqpyGh,dataset\images\29.jpg,"[0, 0, 0]"
@DanDr0y Lydia just called this man a cunt. https://t.co/va8JIKm4W9,dataset\images\30.jpg,"[0, 2, 0]"
"@machinegunkelly and @lilxanfuhyobih are the Jack and Ennis from Brokeback (faggot) Mountain, y'all. https://t.co/2BcznhTp6h",dataset\images\31.jpg,"[3, 1, 1]"
@Rurikhan Remember Ruri. Dwarves are stubborn.  So never surrender. Shields up Iron Breaker ğŸ›¡ï¸ https://t.co/MxLrPgYc4z,dataset\images\32.jpg,"[1, 0, 0]"
Iâ€™m really about to fight my cousin @Pharaoh_Munk when I see this nigga https://t.co/UibmLyMS5V,dataset\images\33.jpg,"[0, 0, 0]"
"i fucked up, my response was too faggot like, I need to act more masc https://t.co/yysxZ7kLhM",dataset\images\34.jpg,"[0, 0, 3]"
@elijahhorton94 Netflix we coming for you nigga https://t.co/0J3m1vGPU5,dataset\images\35.jpg,"[0, 0, 0]"
The ice cream truck nigga was like ğŸšğŸ’¨ğŸ’¨ğŸ’¨ğŸ’¨ğŸ’¨ https://t.co/9TCqjSz6SX,dataset\images\36.jpg,"[0, 0, 0]"
Fuck u England u little twat! https://t.co/zfYB5tgEgY,dataset\images\37.jpg,"[2, 2, 0]"
SHE NACHOS.  IT'S JUST YOUR TURN NIGGA.  Dumb Niggas: https://t.co/wR4snrq4zm,dataset\images\38.jpg,"[0, 0, 0]"
@BF_Flipsta @JazTheRapper nigga got them: https://t.co/2nwG87x0tW,dataset\images\39.jpg,"[0, 0, 0]"
"Fare play , little cunt wont be doing that again https://t.co/JuMQbe5sn6",dataset\images\40.jpg,"[0, 0, 0]"
Look at this nigga son ğŸ’€ https://t.co/gkPmPwlCMB,dataset\images\41.jpg,"[0, 0, 0]"
When You've Just Had Enough Of That Cocky Twat! https://t.co/Wp7Vg7azid,dataset\images\42.jpg,"[0, 0, 0]"
some nigga: how are you today   me: https://t.co/rUpmhbciYj,dataset\images\43.jpg,"[0, 0, 0]"
SHOOKY A NIGGA NOW yâ€™all mightâ€™ve did sumn here ğŸ¤© https://t.co/a8FfLdDA7k,dataset\images\44.jpg,"[3, 1, 0]"
Happy Gday to my roun BIG 19!ğŸ‚ğŸ†ğŸ¦ Love ya 4Life my niGGa #ZHM #TMG #228GfportMississippi https://t.co/G1SNZFO2Vj,dataset\images\45.jpg,"[1, 3, 0]"
This nigga is the Portuguese Fat frank https://t.co/HdqfKx759u,dataset\images\46.jpg,"[1, 0, 0]"
"""The Blame is Thanos my nigger"" - Bonucci to Kean... maybe.... I dunno im not the king of racists https://t.co/iY2lxLdugl",dataset\images\47.jpg,"[0, 0, 1]"
STFU NIGGA GOD DAMN https://t.co/f7SkanAMpz,dataset\images\48.jpg,"[1, 2, 1]"
"Jeffery really said ""I'll take a V card from a retard"" https://t.co/BjO5jNfYml",dataset\images\49.jpg,"[0, 5, 0]"
"Heâ€™s offside you spastic of a twat jenas, worst pundit ever https://t.co/OazFa2gzJJ",dataset\images\50.jpg,"[0, 0, 2]"
@upN_DC @Wassup_gotti @FilthyAli Nigga slapped the keyboard https://t.co/N81dXcn9jw,dataset\images\51.jpg,"[0, 1, 0]"
peng somali nigga thread lemme start it off ğŸ˜‚ğŸ˜©ğŸ’¯ğŸ™ğŸ˜ https://t.co/GuHrTE5o8i,dataset\images\52.jpg,"[0, 0, 1]"
â€œ i canâ€™t stop thinking about you .â€ I know nigga ğŸ˜‚ https://t.co/sEQQnxUoCd,dataset\images\53.jpg,"[0, 0, 0]"
Me: â€œoh you off today? Letâ€™s go get a tattooâ€  Also me: â€œBut savings niggaâ€  Me &amp; me: https://t.co/3hf7wmzcxe,dataset\images\54.jpg,"[0, 0, 0]"
Cardi got a new nigga every season she in love with #LHHATL https://t.co/txYOa7NA5I,dataset\images\55.jpg,"[0, 0, 1]"
@Mat3rial_Girl Facts like beat it my nigga https://t.co/wnd3QLDbxM,dataset\images\56.jpg,"[0, 0, 0]"
@mckraebentley @IHencely @M_pritchh Bro you look like Human Sherk and Kurt Cobains retarded son https://t.co/rfO1wVm1qD,dataset\images\57.jpg,"[0, 5, 5]"
"Broke my monitor because Iâ€™m a fucking retard, so now Iâ€™m stuck with this wonderful thing https://t.co/4LC5gGKuMu",dataset\images\58.jpg,"[0, 0, 0]"
ops ops ops! thank youuu mah nigga!!!!! i love you huhu :&lt; https://t.co/GsHXjf2ZPz,dataset\images\59.jpg,"[0, 0, 3]"
When You Just Can't Help It But Make a Twat Of Yourself https://t.co/G54RM9gr2W,dataset\images\60.jpg,"[0, 5, 0]"
@realDonaldTrump People were murdered today you fat twat! https://t.co/Ts3h1guGbF,dataset\images\61.jpg,"[0, 5, 0]"
When you ainâ€™t worried about nigga or bitch ğŸ˜­ğŸ˜­ https://t.co/ZZkIlyMSgR,dataset\images\62.jpg,"[1, 0, 0]"
Bumping â€œIf you love meâ€ like ğŸ—£NIGGA! https://t.co/cFjOHmfdfK,dataset\images\63.jpg,"[0, 1, 1]"
@Mr_Rodie94 Nigga was in the store like ğŸ˜‚ https://t.co/dSEb83kIhm,dataset\images\64.jpg,"[0, 0, 1]"
@l3renaissance This nigger â˜ ï¸ğŸ˜‚ğŸ˜‚ https://t.co/Vwnm8XbWKS,dataset\images\65.jpg,"[1, 0, 1]"
@samanthaaa_tee Ohhhh you retarded RETARDED https://t.co/nyMMgGKhav,dataset\images\66.jpg,"[5, 5, 5]"
Funniest nigga Iâ€™ve ever known! HAPPY G DAY TO THE REALEST!! ğŸ˜‡ğŸ™ğŸ¾ #DUKEDAGOD https://t.co/uT5faXRVGc,dataset\images\67.jpg,"[0, 0, 0]"
BIG DYKE ENERGY RIGHT THERE https://t.co/NrEPGfNODY,dataset\images\68.jpg,"[0, 3, 3]"
@MattySr2 Git a bottle eh bucky ar la intae ye ya brit cunt you know you want tae xx https://t.co/i7JXrLeaCk,dataset\images\69.jpg,"[5, 1, 0]"
@MitthrawThrawn @pmitton1 #HeatherHeyer  Now STFU you twat... https://t.co/dzQjm8ilFk,dataset\images\70.jpg,"[0, 2, 5]"
"SJWâ€™s are some of the most illogical garbage, and oversensitive people on this planet. I hope they all die slow :â€™) https://t.co/XG1NG3WngK",dataset\images\71.jpg,"[5, 0, 5]"
a match made in nigger heaven https://t.co/Cln2Y6hXXT,dataset\images\72.jpg,"[1, 1, 1]"
â€œThatâ€™s a good niggerâ€ https://t.co/DgpcdSYhZL,dataset\images\73.jpg,"[1, 1, 1]"
like nigga you know I know that you know that I know u bullshitting right? https://t.co/U7Tzhglren,dataset\images\74.jpg,"[0, 0, 1]"
Battlefield V arrivera finalement en retardÂ ! https://t.co/iuWIkjMhxX https://t.co/xI8KnwOn8Z,dataset\images\75.jpg,"[0, 5, 0]"
me cos theres no strange brooding women w dyke energy in vld https://t.co/khZI6Wl1fa,dataset\images\76.jpg,"[2, 0, 0]"
To the dude that called me a fat cunt before 9AM...  YUP https://t.co/CsYhQygijU,dataset\images\77.jpg,"[0, 0, 0]"
I am proud to #serve the #superior #alphamale I am proud to be a #faggot https://t.co/95XEpSiPor,dataset\images\78.jpg,"[0, 0, 0]"
Wanna see a slimy twat? ğŸ‘‡ https://t.co/cd7EY9uywW,dataset\images\79.jpg,"[2, 5, 0]"
"@RealTT2020 No retreat, no surrender! Stay the course - His truth is marching on.  https://t.co/dLnPD0HFbC https://t.co/DrGuHhBjHL",dataset\images\80.jpg,"[0, 1, 0]"
I would body this nigga if I ever seen him ğŸ™…ğŸ¾â€â™‚ï¸ https://t.co/CBVAOwmSTW,dataset\images\81.jpg,"[1, 1, 0]"
I looked down at my arm and Iâ€™m for real starting to look that nigga in the car meme ğŸ˜¬ https://t.co/niqRNS3vkV,dataset\images\82.jpg,"[1, 0, 0]"
My nigga Floyd Bvuma .. how u made it to the #DateMyFamilly ğŸ˜†ğŸ˜†ğŸ˜†... dude ? Yerrr https://t.co/7FrmA9kf9l,dataset\images\83.jpg,"[0, 0, 0]"
@Mierrr4 @jeffromda4 Bout time a nigga said it lmao https://t.co/tMqxREKwHv,dataset\images\84.jpg,"[0, 0, 0]"
this nigga Murda Mook smoking a e-cig from Royce Da 5â€™9 foot I want this nigga GONE https://t.co/UhScC5yBqj,dataset\images\85.jpg,"[0, 2, 2]"
@JuztKilo Not this Nigga here Lmaoo https://t.co/QNnR3qet3U,dataset\images\86.jpg,"[0, 0, 1]"
LEMONADE YO NIGGA WANNA DRANK ğŸ¤ª https://t.co/lL7uAiHrIZ,dataset\images\87.jpg,"[1, 2, 0]"
"Look out for this cunt on the roads of Newcastle today. Almost ran me off the road, tucking tosser. #sekurawindows https://t.co/WUB5ACSVlQ",dataset\images\88.jpg,"[0, 0, 3]"
"@ASRomaEN On behalf of Gooners everywhere, my apologies for this twat. https://t.co/9KBD4ocPGO",dataset\images\89.jpg,"[0, 0, 0]"
"IF YA ASS A BROKE NIGGA, HELL NAH I CANT DATE YOU/IF YA ASS A RICH NIGGA, IMMA FUCK YOU TILL YOU AINT ONE!!! https://t.co/iANicnrmnK",dataset\images\90.jpg,"[0, 0, 0]"
@trapyrod75 donâ€™t be this retard https://t.co/rIeX61sFpZ,dataset\images\91.jpg,"[0, 0, 0]"
@angrykid83 @AAAFC69 @thegloryboys Cunt president enjoy ! https://t.co/Gfvq9SP8sW,dataset\images\92.jpg,"[0, 0, 0]"
@N4Nate THANKS MR THANIEL MY NIGGA https://t.co/e0vqKwhuLc,dataset\images\93.jpg,"[0, 0, 1]"
Free 69. Startin to miss this nigga ğŸ˜«ğŸ’ªğŸ¼â¤ï¸ğŸ§¡ğŸ’›ğŸ’šğŸ’™ https://t.co/gdVcazf1me,dataset\images\94.jpg,"[0, 0, 0]"
@WilliamHill What a twat!!! https://t.co/fHnv5zRJsl,dataset\images\95.jpg,"[2, 1, 0]"
@indigoxuave Nigga you good ğŸ¤£ğŸ¤£ https://t.co/AyJYQpvonB,dataset\images\96.jpg,"[0, 0, 0]"
Right Giants.....stop scoring....some twat spends ages going through all those goals..... https://t.co/inzEWmTGtb,dataset\images\97.jpg,"[0, 0, 5]"
Nigga. ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ https://t.co/zhkTtTqNon,dataset\images\98.jpg,"[0, 4, 0]"
Hook  Line   And muthafucking sinker.   You almost gotta applaud this nigga. Heâ€™s still a coon though. https://t.co/I3V7U9ERBQ,dataset\images\99.jpg,"[0, 1, 0]"
"Something about a big nigga and beard, gets me everytime... https://t.co/cBx6lFU5zA",dataset\images\100.jpg,"[0, 0, 0]"
"@Manijurdan THIS NIGGA HITTING FLIPS AND SHIT, WHOLE SQUAD FINNA BE LIKE https://t.co/WmH219BZJz",dataset\images\101.jpg,"[1, 1, 5]"
â€œHow this nigga gonna tell us to be drug free?â€ https://t.co/cy2pY1lADf,dataset\images\102.jpg,"[0, 0, 1]"
@nachosarah Another benefit of being a Redneck you are not expected to think that hard https://t.co/JfUQ1c1QaP,dataset\images\103.jpg,"[0, 1, 5]"
@LokoHobo1 No u   Faggot https://t.co/r7ymL0vePJ,dataset\images\104.jpg,"[3, 3, 3]"
GM treating a real nigga to work https://t.co/tRjin3QUiR,dataset\images\105.jpg,"[1, 0, 0]"
"This nigga hit 10 threes in the first half, and heâ€™s their third scoring option https://t.co/8952lsYyL0",dataset\images\106.jpg,"[0, 1, 0]"
Faggot in chastity like it should be 24/7! https://t.co/Jr16ndG7Ks,dataset\images\107.jpg,"[3, 5, 3]"
"""nobody is trying to replace you. Stop being a paranoid conspiracy theorist"" https://t.co/OHduQk4X1l",dataset\images\108.jpg,"[2, 0, 0]"
@stillgray The comments on her tweet are so retarded it's making me sad. https://t.co/yCYmuCHlXM,dataset\images\109.jpg,"[5, 5, 5]"
"â€œa nigga late, but heâ€™s best dressedâ€ ~SPI 2K19ğŸŒ´ https://t.co/e1yrojmyeE",dataset\images\110.jpg,"[0, 0, 0]"
Proud of you mu nigga. @Vuli_SA https://t.co/Bubygqwo6U,dataset\images\111.jpg,"[0, 0, 0]"
Nigga this shit hard... Had to add this to the playlist.. https://t.co/UU3RBnKROQ,dataset\images\112.jpg,"[0, 0, 0]"
This nigga though ğŸ˜­ğŸ˜­ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ https://t.co/DVtbFpgSLh,dataset\images\113.jpg,"[0, 0, 0]"
Jason Van Dyke's partner testifies in murder trial https://t.co/IDVgltWJDh https://t.co/OfJtaO27ZB,dataset\images\114.jpg,"[0, 1, 0]"
yes they can say dyke what u gonna do about it huh https://t.co/M6Yu8T9GKZ,dataset\images\115.jpg,"[0, 0, 0]"
Yu can legit see the nigga smiling from the back of this nigga head. Thats how much he loves this shit https://t.co/kTOriJMg1n,dataset\images\116.jpg,"[0, 1, 0]"
@keywilliamss This lil nigga wanna snatch his chains so badğŸ˜‚ https://t.co/FZaBq5JAWj,dataset\images\117.jpg,"[1, 1, 0]"
stupid cunt. #dcfc #nffc https://t.co/Kgwa0rHKL4,dataset\images\118.jpg,"[0, 0, 0]"
@EmbryEthan The most backward twat ever. https://t.co/W5ZZzb8HGJ,dataset\images\119.jpg,"[0, 0, 0]"
I can't wait for this nigga to drop https://t.co/Aq9NiaIZ12,dataset\images\120.jpg,"[0, 0, 0]"
"@GrannyRose89 I used to fw this one guy ex and he said â€œhow my dick taste, my nigga?â€ https://t.co/Nf6ARotqiv",dataset\images\121.jpg,"[0, 0, 0]"
"No nigga , no problem https://t.co/makc35EaYZ",dataset\images\122.jpg,"[0, 0, 1]"
This nigga is aggressive. https://t.co/zen23uDSf0,dataset\images\123.jpg,"[0, 0, 0]"
Surrender https://t.co/oJttJdoD7t,dataset\images\124.jpg,"[0, 0, 0]"
@Wisteria_Prince ok retard https://t.co/rySp33vyF9,dataset\images\125.jpg,"[5, 0, 5]"
A young Nigga still got a ways to go but #PubertyChallenge https://t.co/4mRyTvIw2s,dataset\images\126.jpg,"[1, 0, 0]"
Julias asked if I'm taking my excersize bike to London. Da feck she trying to say. Daft bint. https://t.co/8zSjRR0WaQ,dataset\images\127.jpg,"[2, 5, 2]"
PPs for the Saturday #Hambo18 race card are now posted - https://t.co/2mXp4AdVJZ #playbigm #harnessracing https://t.co/a8ywD5jcqk,dataset\images\128.jpg,"[0, 0, 0]"
Satanists are retarded. https://t.co/fAobCgb9BH,dataset\images\129.jpg,"[4, 5, 5]"
"@AllieBombImpact Because I look like a, quote, Stank Ass Cunt.  Your eyes work, yeah?. https://t.co/5H7sgb9DlT",dataset\images\130.jpg,"[2, 1, 0]"
can these SJW just drag demi and no one else. she doesnâ€™t do anything other than body shame and attack taylor https://t.co/WJDBbP6k6M,dataset\images\131.jpg,"[0, 0, 0]"
This nigga lmaoâ€œDick!â€ğŸ¤£ğŸ¤£ https://t.co/x2awlTw4rC,dataset\images\132.jpg,"[0, 0, 0]"
He's Such A Little Twat! https://t.co/1igOa5QoVM,dataset\images\133.jpg,"[5, 0, 0]"
"Is there any way I can get rid of these retarded boxes on my twitter feed ,tired of seeing them @Barnacules https://t.co/QOHc6kBbzp",dataset\images\134.jpg,"[5, 0, 0]"
@BreyonMorris Lil nigga better be standing like that lmao https://t.co/Y8fA85DArM,dataset\images\135.jpg,"[0, 0, 0]"
@Im_Pavlos Nigga! https://t.co/98l4Vtqpmh,dataset\images\136.jpg,"[0, 3, 0]"
#NOWPLAYING B.o.B - NAGA - Good Nigger Sticker Circle Radio https://t.co/WTkAvXIryq https://t.co/r1VVfaThHR,dataset\images\137.jpg,"[0, 1, 1]"
any nigga in my situation would have been fold! ğŸ¥¶ #eso.. https://t.co/O7mkEj3TJd,dataset\images\138.jpg,"[0, 0, 0]"
"instead of calling me a 'fucking wanker cunt' after walking into me, how about you try looking where you're going https://t.co/r5pYdjjBdl",dataset\images\139.jpg,"[0, 2, 5]"
@BlazeyIsOk Is A Fucking Retard https://t.co/B0LS1xjHZJ,dataset\images\140.jpg,"[0, 5, 0]"
I LOVE ARSE AND CUNT!!!! https://t.co/l2vpwOmy8f,dataset\images\141.jpg,"[2, 0, 3]"
I SHOOT TO KILL NIGGER.  https://t.co/U0dsu593pE https://t.co/LnfHFh4RuP,dataset\images\142.jpg,"[5, 1, 1]"
@The_Dirt_Wizard I'LL SURGERY YOU YOU CUNT! https://t.co/zlRZfjkPU1,dataset\images\143.jpg,"[0, 0, 0]"
Now Streaming  Julie Andrews - Dick Van Dyke at https://t.co/VI0d8UAJ4F https://t.co/Wt9nhvNjyl,dataset\images\144.jpg,"[3, 0, 0]"
This is truth! #MAGA #KAG #BenghaziNeverForget #VoteRedToSaveAmerica #BuildTheWall https://t.co/vUPaIym9Ad,dataset\images\145.jpg,"[5, 0, 0]"
this nigga said â€œshe look like she eats left &amp; right oversâ€ LMFAOOOOOOO https://t.co/9b3UtTNDbT,dataset\images\146.jpg,"[0, 0, 0]"
@AlmightyMansa Nigga how tf you gonna kick them off stage you canâ€™t even GET IT https://t.co/0UrlMKVaMV,dataset\images\147.jpg,"[0, 0, 0]"
My niggaâœŠğŸ¿ https://t.co/81vGFaetn6,dataset\images\148.jpg,"[0, 0, 0]"
Picked up the coolest tequila miniatures from CDG airport duty free. Might make some redneck margaritas with them. https://t.co/sXMC4MIzqQ,dataset\images\149.jpg,"[0, 0, 0]"
